Code,Title,Code,Rating,Rating Count,Rank
tt5491994,Planet Earth II,tt5491994,9.5,"69,834",1
tt0185906,Band of Brothers,tt0185906,9.4,"314,596",2
tt0944947,Game of Thrones,tt0944947,9.4,"1,477,002",3
tt0795176,Planet Earth,tt0795176,9.4,"146,143",4
tt0903747,Breaking Bad,tt0903747,9.4,"1,185,584",5
tt9253866,Our Planet,tt9253866,9.3,"8,356",6
tt0306414,The Wire,tt0306414,9.3,"243,004",7
tt6769208,Blue Planet II,tt6769208,9.2,"18,966",8
tt2395695,Cosmos,tt2395695,9.2,"94,934",9
tt0081846,Cosmos,tt0081846,9.2,"30,894",10
tt2861424,Rick and Morty,tt2861424,9.2,"264,529",11
tt7366338,Chernobyl,tt7366338,9.1,"5,431",12
tt0141842,The Sopranos,tt0141842,9.1,"249,831",13
tt0071075,The World at War,tt0071075,9.1,"18,147",14
tt0417299,Avatar: The Last Airbender,tt0417299,9.1,"187,864",15
tt1533395,Life,tt1533395,9.1,"33,824",16
tt1475582,Sherlock,tt1475582,9.1,"698,423",17
tt1877514,The Vietnam War,tt1877514,9.0,"11,022",18
tt0052520,The Twilight Zone,tt0052520,9.0,"60,764",19
tt1806234,Human Planet,tt1806234,9.0,"20,397",20
tt0092337,Dekalog,tt0092337,9.0,"18,180",21
tt0098769,The Civil War,tt0098769,9.0,"10,749",22
tt0303461,Firefly,tt0303461,9.0,"224,702",23
tt1355642,Fullmetal Alchemist: Brotherhood,tt1355642,9.0,"87,055",24
tt2356777,True Detective,tt2356777,9.0,"437,339",25
tt2802850,Fargo,tt2802850,8.9,"269,673",26
tt0103359,Batman: The Animated Series,tt0103359,8.9,"74,034",27
tt3530232,Last Week Tonight with John Oliver,tt3530232,8.9,"66,609",28
tt0877057,Death Note,tt0877057,8.9,"180,417",29
tt0296310,The Blue Planet,tt0296310,8.9,"27,286",30
tt0213338,Cowboy Bebop,tt0213338,8.9,"74,524",31
tt2085059,Black Mirror,tt2085059,8.9,"309,171",32
tt2092588,Frozen Planet,tt2092588,8.8,"21,935",33
tt4508902,One Punch Man,tt4508902,8.8,"81,313",34
tt2571774,Africa,tt2571774,8.8,"11,287",35
tt0063929,Monty Python's Flying Circus,tt0063929,8.8,"59,120",36
tt0112130,Pride and Prejudice,tt0112130,8.8,"67,510",37
tt0081834,Das Boot,tt0081834,8.8,"21,376",38
tt0108778,Friends,tt0108778,8.8,"665,928",39
tt0081912,Only Fools and Horses....,tt0081912,8.8,"40,452",40
tt1508238,Apocalypse: La 2ème guerre mondiale,tt1508238,8.8,"6,511",41
tt0098904,Seinfeld,tt0098904,8.8,"223,002",42
tt4574334,Stranger Things,tt4574334,8.8,"582,749",43
tt0158417,Mahabharat,tt0158417,8.8,"5,800",44
tt0367279,Arrested Development,tt0367279,8.8,"254,511",45
tt1865718,Gravity Falls,tt1865718,8.8,"51,899",46
tt0098936,Twin Peaks,tt0098936,8.8,"153,103",47
tt3718778,Over the Garden Wall,tt3718778,8.8,"27,812",48
tt2707408,Narcos,tt2707408,8.8,"289,434",49
tt0193676,Freaks and Geeks,tt0193676,8.8,"118,018",50
tt0386676,The Office,tt0386676,8.8,"292,705",51
tt0074006,"I, Claudius",tt0074006,8.8,"14,072",52
tt4742876,TVF Pitchers,tt4742876,8.8,"43,636",53
tt1856010,House of Cards,tt1856010,8.8,"427,947",54
tt0072500,Fawlty Towers,tt0072500,8.8,"75,636",55
tt0475784,Westworld,tt0475784,8.8,"338,619",56
tt2442560,Peaky Blinders,tt2442560,8.7,"190,817",57
tt7221388,Cobra Kai,tt7221388,8.7,"31,144",58
tt7920978,Sahsiyet,tt7920978,8.7,"12,972",59
tt6025022,Justice League Unlimited,tt6025022,8.7,"5,242",60
tt0096548,Blackadder Goes Forth,tt0096548,8.7,"43,009",61
tt0384766,Rome,tt0384766,8.7,"139,845",62
tt0472954,It's Always Sunny in Philadelphia,tt0472954,8.7,"169,562",63
tt0118421,Oz,tt0118421,8.7,"81,050",64
tt0096697,The Simpsons,tt0096697,8.7,"331,355",65
tt2560140,Attack on Titan,tt2560140,8.7,"109,643",66
tt0200276,The West Wing,tt0200276,8.7,"55,688",67
tt2297757,Nathan for You,tt2297757,8.7,"13,631",68
tt0264235,Curb Your Enthusiasm,tt0264235,8.7,"84,579",69
tt0121955,South Park,tt0121955,8.7,"298,965",70
tt0412142,House M.D.,tt0412142,8.7,"373,151",71
tt5788792,The Marvelous Mrs. Maisel,tt5788792,8.7,"42,588",72
tt6763664,The Haunting of Hill House,tt6763664,8.7,"111,538",73
tt0353049,Chappelle's Show,tt0353049,8.7,"46,680",74
tt9561862,"Love, Death &amp; Robots",tt9561862,8.7,"48,841",75
tt0086661,The Adventures of Sherlock Holmes,tt0086661,8.7,"17,625",76
tt0214341,Dragon Ball Z,tt0214341,8.7,"100,821",77
tt0096639,Lonesome Dove,tt0096639,8.7,"18,405",78
tt4299972,The Jinx: The Life and Deaths of Robert Durst,tt4299972,8.7,"32,979",79
tt0121220,Dragon Ball Z: Doragon bôru zetto,tt0121220,8.7,"57,534",80
tt1910272,Steins;Gate,tt1910272,8.7,"32,166",81
tt0348914,Deadwood,tt0348914,8.7,"81,885",82
tt0407362,Battlestar Galactica,tt0407362,8.6,"140,556",83
tt3032476,Better Call Saul,tt3032476,8.6,"245,742",84
tt0459159,The Thick of It,tt0459159,8.6,"17,211",85
tt0248654,Six Feet Under,tt0248654,8.6,"109,974",86
tt0090509,The Return of Sherlock Holmes,tt0090509,8.6,"8,879",87
tt4786824,The Crown,tt4786824,8.6,"81,150",88
tt0108855,The Memoirs of Sherlock Holmes,tt0108855,8.6,"5,883",89
tt0286486,The Shield,tt0286486,8.6,"65,614",90
tt0106179,The X-Files,tt0106179,8.6,"182,182",91
tt1628033,Top Gear,tt1628033,8.6,"99,983",92
tt1606375,Downton Abbey,tt1606375,8.6,"141,133",93
tt0434706,Monster,tt0434706,8.6,"15,876",94
tt0773262,Dexter,tt0773262,8.6,"594,550",95
tt1641384,Young Justice,tt1641384,8.6,"27,090",96
tt1486217,Archer,tt1486217,8.6,"122,941",97
tt0088484,Blackadder II,tt0088484,8.6,"38,467",98
tt0120570,From the Earth to the Moon,tt0120570,8.6,"9,531",99
tt5555260,This Is Us,tt5555260,8.6,"75,959",100
tt3322312,Daredevil,tt3322312,8.6,"326,756",101
tt1733785,Bron/Broen,tt1733785,8.6,"48,756",102
tt0092455,Star Trek: The Next Generation,tt0092455,8.6,"86,110",103
tt5712554,The Grand Tour,tt5712554,8.6,"53,552",104
tt5189670,Making a Murderer,tt5189670,8.6,"76,578",105
tt1266020,Parks and Recreation,tt1266020,8.6,"174,637",106
tt0417349,North &amp; South,tt0417349,8.6,"26,925",107
tt6077448,Sacred Games,tt6077448,8.6,"52,570",108
tt0314979,Battlestar Galactica,tt0314979,8.6,"60,842",109
tt0092324,Blackadder the Third,tt0092324,8.6,"36,864",110
tt2049116,Gomorra: La serie,tt2049116,8.6,"21,903",111
tt0994314,Kôdo giasu: Hangyaku no rurûshu,tt0994314,8.6,"39,815",112
tt0403778,Long Way Round,tt0403778,8.6,"10,708",113
tt4288182,Atlanta,tt4288182,8.6,"38,677",114
tt1513168,Through the Wormhole,tt1513168,8.6,"15,632",115
tt0804503,Mad Men,tt0804503,8.6,"179,094",116
tt0421357,Fullmetal Alchemist,tt0421357,8.6,"54,350",117
tt0187664,Spaced,tt0187664,8.6,"46,193",118
tt1586680,Shameless,tt1586680,8.6,"169,404",119
tt2098220,Hunter x Hunter,tt2098220,8.6,"34,051",120
tt0053488,The Bugs Bunny Show,tt0053488,8.6,"27,778",121
tt0203082,Samurai X: Trust and Betrayal,tt0203082,8.6,"11,536",122
tt0075537,Mind Your Language,tt0075537,8.6,"5,595",123
tt0380136,QI,tt0380136,8.6,"27,473",124
tt0436992,Doctor Who,tt0436992,8.6,"183,130",125
tt0758745,Friday Night Lights,tt0758745,8.6,"50,820",126
tt5288312,Skam,tt5288312,8.6,"23,011",127
tt0062588,Mister Rogers' Neighborhood,tt0062588,8.6,"5,162",128
tt0387764,Peep Show,tt0387764,8.6,"45,477",129
tt0111958,Father Ted,tt0111958,8.6,"32,737",130
tt4295140,Chef's Table,tt4295140,8.6,"10,387",131
tt1831164,Leyla ile Mecnun,tt1831164,8.6,"83,028",132
tt0161952,Seinto Seiya,tt0161952,8.5,"7,711",133
tt0275137,Justice League,tt0275137,8.5,"36,303",134
tt0080306,Yes Minister,tt0080306,8.5,"10,587",135
tt0863046,Flight of the Conchords,tt0863046,8.5,"50,663",136
tt0112159,Shin Seiki Evangerion,tt0112159,8.5,"36,469",137
tt1870479,The Newsroom,tt1870479,8.5,"95,364",138
tt1489428,Justified,tt1489428,8.5,"76,628",139
tt6958022,The Defiant Ones,tt6958022,8.5,"8,662",140
tt0995832,Generation Kill,tt0995832,8.5,"42,581",141
tt2303687,Line of Duty,tt2303687,8.5,"19,206",142
tt0094525,Poirot,tt0094525,8.5,"32,798",143
tt0118273,Brass Eye,tt0118273,8.5,"8,565",144
tt0979432,Boardwalk Empire,tt0979432,8.5,"158,954",145
tt1305826,Adventure Time,tt1305826,8.5,"65,279",146
tt3920596,Big Little Lies,tt3920596,8.5,"100,830",147
tt5753856,Dark,tt5753856,8.5,"100,580",148
tt0472027,John Adams,tt0472027,8.5,"24,833",149
tt0094517,Mystery Science Theater 3000,tt0094517,8.5,"21,784",150
tt0086831,"Yes, Prime Minister",tt0086831,8.5,"7,973",151
tt0318871,Berserk,tt0318871,8.5,"23,589",152
tt5675620,The Punisher,tt5675620,8.5,"146,061",153
tt2244495,The Eric Andre Show,tt2244495,8.5,"8,760",154
tt2401256,The Night Of,tt2401256,8.5,"98,096",155
tt0106028,Homicide: Life on the Street,tt0106028,8.5,"10,479",156
tt1492966,Louie,tt1492966,8.5,"70,287",157
tt0423731,Samurai Champloo,tt0423731,8.5,"34,135",158
tt8595766,Yeh Meri Family,tt8595766,8.5,"15,026",159
tt0047708,Alfred Hitchcock Presents,tt0047708,8.5,"12,948",160
tt0237123,Coupling,tt0237123,8.5,"40,032",161
tt1494191,The Untold History of the United States,tt1494191,8.5,"6,797",162
tt0088509,Dragon Ball,tt0088509,8.5,"40,429",163
tt0280249,Dragon Ball,tt0280249,8.5,"46,409",164
tt0487831,The IT Crowd,tt0487831,8.5,"116,925",165
tt5290382,Mindhunter,tt5290382,8.5,"117,949",166
tt1984119,Feud,tt1984119,8.5,"13,993",167
tt0096657,Mr. Bean,tt0096657,8.5,"87,292",168
tt1227926,Dr. Horrible's Sing-Along Blog,tt1227926,8.5,"39,654",169
tt2575988,Silicon Valley,tt2575988,8.5,"102,106",170
tt0290978,The Office,tt0290978,8.5,"86,136",171
tt0083390,Brideshead Revisited,tt0083390,8.5,"5,899",172
tt5994364,Sseulsseulhago Chalranhashin: Dokkaebi,tt5994364,8.5,"5,576",173
tt2306299,Vikings,tt2306299,8.5,"335,628",174
tt2100976,Impractical Jokers,tt2100976,8.5,"27,702",175
tt3398228,BoJack Horseman,tt3398228,8.5,"68,976",176
tt6478318,Masum,tt6478318,8.5,"8,080",177
tt0163507,Whose Line Is It Anyway?,tt0163507,8.5,"37,185",178
tt4269716,Umbre,tt4269716,8.5,"5,697",179
tt0118266,The New Batman Adventures,tt0118266,8.5,"11,805",180
tt6468322,Money Heist,tt6468322,8.5,"124,217",181
tt5834204,The Handmaid's Tale,tt5834204,8.5,"113,953",182
tt5249462,Boku dake ga inai machi,tt5249462,8.5,"16,057",183
tt0262150,Black Books,tt0262150,8.5,"49,175",184
tt4158110,Mr. Robot,tt4158110,8.5,"275,557",185
tt2243973,Hannibal,tt2243973,8.5,"201,191",186
tt5425186,Horace and Pete,tt5425186,8.5,"12,912",187
tt4093826,Twin Peaks,tt4093826,8.5,"42,518",188
tt1758429,Spartacus: Gods of the Arena,tt1758429,8.5,"114,463",189
tt0061287,The Prisoner,tt0061287,8.5,"11,182",190
tt2701582,Endeavour,tt2701582,8.5,"14,032",191
tt1474684,Luther,tt1474684,8.5,"104,721",192
tt0098825,House of Cards,tt0098825,8.5,"11,998",193
tt1124373,Sons of Anarchy,tt1124373,8.5,"229,299",194
tt0080297,Tinker Tailor Soldier Spy,tt0080297,8.5,"6,782",195
tt0129690,I'm Alan Partridge,tt0129690,8.5,"16,531",196
tt0149460,Futurama,tt0149460,8.5,"194,390",197
tt0075520,Jesus of Nazareth,tt0075520,8.5,"17,456",198
tt0346314,Kôkaku kidôtai: Stand Alone Complex,tt0346314,8.5,"16,048",199
tt2937900,The Knick,tt2937900,8.5,"38,986",200
tt4082744,Detectorists,tt4082744,8.5,"7,994",201
tt2788432,American Crime Story,tt2788432,8.5,"66,511",202
tt2528254,This Is England '90,tt2528254,8.5,"5,208",203
tt4189022,Ash vs Evil Dead,tt4189022,8.5,"56,307",204
tt2433738,Wentworth,tt2433738,8.5,"14,125",205
tt1439629,Community,tt1439629,8.5,"173,798",206
tt1442449,Spartacus,tt1442449,8.5,"204,209",207
tt0182629,Rurouni Kenshin: Wandering Samurai,tt0182629,8.4,"15,487",208
tt0417373,The Venture Bros.,tt0417373,8.4,"21,798",209
tt0070644,Scenes from a Marriage,tt0070644,8.4,"13,718",210
tt0103584,X-Men: The Animated Series,tt0103584,8.4,"33,167",211
tt1883092,Generation War,tt1883092,8.4,"21,421",212
tt1795096,Behzat Ç.: Bir Ankara Polisiyesi,tt1795096,8.4,"23,167",213
tt0115147,The Daily Show,tt0115147,8.4,"41,946",214
tt0458254,The Colbert Report,tt0458254,8.4,"36,598",215
tt1695360,The Legend of Korra,tt1695360,8.4,"85,000",216
tt8714904,Narcos: Mexico,tt8714904,8.4,"31,025",217
tt8398600,After Life,tt8398600,8.4,"33,902",218
tt3428912,Happy Valley,tt3428912,8.4,"27,564",219
tt3647998,Taboo,tt3647998,8.4,"98,876",220
tt0397150,Garth Marenghi's Darkplace,tt0397150,8.4,"14,317",221
tt0319969,Carnivàle,tt0319969,8.4,"40,047",222
tt0278238,Samurai Jack,tt0278238,8.4,"39,384",223
tt0083466,Police Squad!,tt0083466,8.4,"13,828",224
tt0388629,One Piece: Wan pîsu,tt0388629,8.4,"55,423",225
tt1632701,Suits,tt1632701,8.4,"324,466",226
tt2384811,Utopia,tt2384811,8.4,"35,230",227
tt1230180,The Angry Video Game Nerd,tt1230180,8.4,"12,993",228
tt0088491,The Bugs Bunny/Looney Tunes Comedy Hour,tt0088491,8.4,"14,601",229
tt1526318,Borgen,tt1526318,8.4,"14,855",230
tt2674806,Inside No. 9,tt2674806,8.4,"8,176",231
tt0056751,Doctor Who,tt0056751,8.4,"32,685",232
tt0387199,Entourage,tt0387199,8.4,"151,374",233
tt0362192,State of Play,tt0362192,8.4,"8,603",234
tt6205862,Inside Look: The People v. O.J. Simpson - American Crime Story,tt6205862,8.4,"18,676",235
tt1442437,Modern Family,tt1442437,8.4,"310,603",236
tt0074028,The Muppet Show,tt0074028,8.4,"20,679",237
tt7259746,Queer Eye,tt7259746,8.3,"9,774",238
tt3230854,The Expanse,tt3230854,8.3,"68,988",239
tt2467372,Brooklyn Nine-Nine,tt2467372,8.3,"145,746",240
tt7562112,Pose,tt7562112,8.3,"7,333",241
tt0098833,Jeeves and Wooster,tt0098833,8.3,"10,948",242
tt5687612,Fleabag,tt5687612,8.3,"17,160",243
tt1119644,Fringe,tt1119644,8.3,"206,035",244
tt4270492,Billions,tt4270492,8.3,"53,610",245
tt7767422,Sex Education,tt7767422,8.3,"60,810",246
tt3671754,Kardes Payi,tt3671754,8.3,"13,248",247
tt7078180,Violet Evergarden,tt7078180,8.3,"5,058",248
tt2149175,The Americans,tt2149175,8.3,"72,542",249
tt4156586,Permanent Roommates,tt4156586,8.3,"18,829",250
